Obs,CustomerID,FullName,Gender,Country,OrderID,OrderDate,OrderAmount,OrderStatus,PaymentID,PaymentAmount,ProgramName,TierLevel,CallID,IssueCategory,AverageSpend,CompanyName
23,CUST00023,Jack Snow,Other,Guadeloupe,2f4ae7d5,03/04/2023,863.52,Pending,3c9812e8,279.43,Premium,Gold,CALL00023,Delivery,369.88,Company 20
24,CUST00024,David Ramirez,Male,Panama,1418d8d5,08/04/2023,890.59,Completed,7ecfebd6,78.11,Premium,Silver,CALL00024,Delivery,90.82,Company 55
25,CUST00025,Krista Bell MD,Other,Guyana,c88b6257,27/08/2022,373.67,Pending,e534c475,140.99,Premium,Silver,CALL00025,Product,420,Company 32
26,CUST00026,William Tran,Male,Egypt,26f99558,20/04/2024,995.15,Canceled,37c4defa,291.78,Silver,Gold,CALL00026,Delivery,132.46,Company 67
27,CUST00027,Jeremy Dalton,Other,French Guiana,2e756288,12/12/2024,313.43,Pending,1ecf4090,493.51,Gold,Silver,CALL00027,Other,344.19,Company 46
28,CUST00028,David Baker,Other,Macao,dec47a10,20/12/2024,729.55,Completed,4b9f1929,415.96,Gold,Gold,CALL00028,Payment,123.1,Company 5
29,CUST00029,Allison Perez,Other,Argentina,b0f3af53,11/05/2025,369.68,Canceled,5b0ca459,396.53,Silver,Silver,CALL00029,Product,244.22,Company 15
30,CUST00030,Jennifer Robertson,Other,South Georgia and th,24efeab9,08/03/2023,783.5,Pending,1d46c9cb,170.97,Gold,Gold,CALL00030,Product,124.7,Company 36
31,CUST00031,Anna Gay,Female,Tonga,2b0c4f2d,21/12/2023,949.97,Pending,c668cd9a,28.84,Premium,Bronze,CALL00031,Payment,139.88,Company 18
32,CUST00032,Aaron Barber,Male,Aruba,11767912,29/12/2023,765.45,Pending,6509a227,445.49,Premium,Bronze,CALL00032,Product,289.4,Company 97
33,CUST00033,Andrew Shaw MD,Female,Timor-Leste,67f2cd52,12/10/2024,35.65,Pending,231a0366,424.9,Gold,Gold,CALL00033,Delivery,30.5,Company 60
34,CUST00034,Cynthia Cohen,Other,Isle of Man,7d613219,22/07/2023,707,Pending,ff1108aa,397.24,Silver,Silver,CALL00034,Payment,126.45,Company 96
35,CUST00035,Cynthia Durham,Female,Botswana,14793c7b,06/10/2022,131.41,Completed,b19295a1,116.44,Silver,Bronze,CALL00035,Delivery,36.61,Company 13
36,CUST00036,Elizabeth Spence DD,Male,Haiti,207cb895,30/07/2022,685.11,Pending,53690f49,217.54,Premium,Bronze,CALL00036,Other,374.37,Company 40
37,CUST00037,Carlos Ryan,Male,British Virgin Islan,b24d842a,17/05/2023,714.69,Completed,68993fac,241.14,Gold,Silver,CALL00037,Payment,261.95,Company 100
38,CUST00038,Teresa Rodriguez,Other,Dominica,63ed799b,08/01/2024,794.15,Pending,65cb0e64,18.82,Silver,Silver,CALL00038,Delivery,406.86,Company 28
39,CUST00039,Patrick Moore,Female,Panama,23f129e4,21/10/2024,138.47,Pending,fde96e5c,454.28,Silver,Bronze,CALL00039,Other,163.57,Company 21
40,CUST00040,Dana Martinez,Female,Myanmar,3012cb2b,13/10/2022,416.69,Canceled,7740ca7c,199.98,Silver,Silver,CALL00040,Delivery,310.25,Company 74
41,CUST00041,Kelly Reese,Female,Poland,2b3fac6f,10/05/2025,455.47,Canceled,c5cee32d,35.58,Premium,Silver,CALL00041,Payment,288.77,Company 95
42,CUST00042,Charles Martinez,Male,Iran,0d2f1a96,09/07/2025,591.91,Completed,1fa6a838,435.62,Premium,Silver,CALL00042,Product,121.38,Company 75
43,CUST00043,Jacqueline Hernande,Male,France,ed9dc888,17/11/2024,161.49,Canceled,c3417691,224.2,Premium,Silver,CALL00043,Other,34.32,Company 25
44,CUST00044,John Boone,Female,Uruguay,fd84e12e,27/06/2024,258.1,Canceled,8098f6cd,255.26,Premium,Gold,CALL00044,Other,284.75,Company 86
45,CUST00045,Andrea Figueroa,Male,Israel,c4938d2e,06/02/2024,507.55,Canceled,1f5d2f43,279.98,Silver,Silver,CALL00045,Other,128.08,Company 87
46,CUST00046,Douglas Gregory,Male,San Marino,73e38d3b,04/04/2024,344.24,Canceled,5c809bcd,346.92,Premium,Silver,CALL00046,Payment,383.06,Company 37
47,CUST00047,Sandra Drake,Female,Jordan,26898728,13/03/2025,581,Completed,6f5166af,299.04,Gold,Silver,CALL00047,Delivery,25.09,Company 66
48,CUST00048,Eric Morgan,Male,Kyrgyz Republic,1faf4fd0,30/07/2023,890.11,Canceled,9351f003,101.48,Gold,Bronze,CALL00048,Delivery,121.89,Company 11
49,CUST00049,Lori Hernandez,Female,Switzerland,eb8089b8,12/08/2023,304.46,Pending,138d5a6a,148.11,Silver,Silver,CALL00049,Delivery,227.54,Company 99
50,CUST00050,Kevin Best,Female,Mali,1fe12c88,07/10/2023,346.79,Pending,092e7883,451.62,Silver,Gold,CALL00050,Payment,355.85,Company 15
51,CUST00051,George Harper,Other,Moldova,03879bc5,26/02/2025,763.06,Pending,e1d93638,447.92,Silver,Bronze,CALL00051,Payment,23.19,Company 27
52,CUST00052,Michael Romero,Female,Panama,9fc11752,11/12/2022,255.44,Pending,b5fcd4d1,65.28,Premium,Silver,CALL00052,Product,66.41,Company 98
53,CUST00053,Christopher Schwart,Male,Slovakia (Slovak Rep,bd74222a,12/09/2022,815.34,Canceled,75a597d9,396.17,Gold,Gold,CALL00053,Other,78.61,Company 22
54,CUST00054,Brenda Wright,Other,Indonesia,1e79b37e,08/09/2024,503.77,Pending,e6686b4f,264.21,Gold,Bronze,CALL00054,Payment,51.12,Company 96
55,CUST00055,Timothy Combs,Female,Jamaica,c624115c,25/09/2024,587.51,Canceled,73f7a40b,354.77,Silver,Silver,CALL00055,Product,32.94,Company 4
56,CUST00056,Mark Dean,Other,Zimbabwe,8651c7ed,05/01/2024,475.88,Pending,b735a36a,390.49,Premium,Silver,CALL00056,Delivery,246.26,Company 82
57,CUST00057,Mrs. Alexis Kramer,Male,Venezuela,537fef2a,10/07/2023,766.22,Pending,723fd50d,462.15,Gold,Gold,CALL00057,Delivery,170.91,Company 72
58,CUST00058,Matthew Mitchell,Female,Swaziland,6c688bd7,07/10/2023,295.72,Canceled,bb3964a0,347.7,Silver,Silver,CALL00058,Other,473.73,Company 88
59,CUST00059,Edward Griffin,Male,Slovakia (Slovak Rep,93ed2480,26/11/2024,614.93,Pending,be3a2bc6,99.62,Silver,Gold,CALL00059,Other,318.5,Company 49
60,CUST00060,Tiffany Watson,Other,China,88f34789,08/11/2024,757.42,Completed,2de2aaf7,29.88,Silver,Silver,CALL00060,Product,414.8,Company 21
61,CUST00061,Krista Roberts,Female,Mali,50ccdbb9,21/07/2023,716.46,Completed,c1adbace,324.07,Gold,Bronze,CALL00061,Other,309.58,Company 25
62,CUST00062,Maria Cole,Other,Central African Repu,a2b3858e,23/11/2022,932.06,Pending,fd7b6d20,340.49,Silver,Silver,CALL00062,Product,149.81,Company 13
63,CUST00063,Sarah King,Other,Pakistan,6c426bfd,12/02/2025,512.24,Completed,ee039a84,241.27,Gold,Bronze,CALL00063,Other,460.05,Company 54
64,CUST00064,Mr. Dylan Frye MD,Female,Ghana,1bfa35b7,29/04/2023,337.93,Canceled,db3641bb,216.15,Silver,Bronze,CALL00064,Payment,459.6,Company 21
65,CUST00065,Anthony Dougherty,Other,Bermuda,90c1dc26,28/05/2024,691.16,Canceled,5ebc6b1a,197.52,Silver,Bronze,CALL00065,Product,481.88,Company 73
66,CUST00066,Anthony Simpson,Male,Hungary,a683f4d4,25/03/2023,724.19,Pending,3f8024db,377.92,Premium,Gold,CALL00066,Payment,21.12,Company 51
67,CUST00067,Brent Brooks,Other,Burundi,f3d6fd84,16/06/2024,823.44,Completed,6dbc26c6,148.16,Silver,Gold,CALL00067,Other,450.7,Company 52
68,CUST00068,Nancy Evans MD,Male,Mali,70680bf3,31/05/2024,424.59,Pending,f8000e77,115.16,Premium,Silver,CALL00068,Other,165.88,Company 89
69,CUST00069,Ashley Smith,Male,Guam,43057f11,07/09/2024,849.89,Pending,10f6f34e,291.99,Silver,Silver,CALL00069,Payment,57.63,Company 17
70,CUST00070,David Grant,Other,Zimbabwe,63c82090,04/06/2023,483.59,Pending,79ef326a,135.3,Premium,Bronze,CALL00070,Delivery,235.3,Company 28
71,CUST00071,Ronald Nelson,Male,Pitcairn Islands,0081b2ce,05/10/2023,679.11,Pending,5a4d6c1c,475.74,Silver,Gold,CALL00071,Payment,179.3,Company 59
72,CUST00072,Shirley Alvarez,Female,Mongolia,0c3117b0,25/09/2022,957.76,Pending,c59d8240,164.09,Premium,Silver,CALL00072,Other,227.88,Company 75
73,CUST00073,Brandi Gordon,Male,Colombia,e0f38769,23/08/2024,296.11,Canceled,3dcb9f09,449.37,Silver,Gold,CALL00073,Payment,188.73,Company 76
74,CUST00074,David Molina,Male,New Zealand,13ff1b02,04/01/2025,294.91,Pending,bfb7b06e,39.46,Premium,Silver,CALL00074,Product,392.56,Company 55
75,CUST00075,William Brooks,Male,Cook Islands,de2be9e6,13/06/2025,806.57,Pending,4c52d1cf,405.22,Gold,Bronze,CALL00075,Delivery,97.26,Company 12
76,CUST00076,Daniel Aguilar,Female,Barbados,cec90b98,12/03/2025,263.88,Canceled,3fb1a755,468.15,Silver,Silver,CALL00076,Other,441.64,Company 49
77,CUST00077,Andrea Peck,Female,Malta,68155483,01/05/2023,145.9,Canceled,32b286cc,258.92,Gold,Gold,CALL00077,Payment,331.77,Company 100
78,CUST00078,Julie Ball,Female,Antigua and Barbuda,2ada99ae,12/02/2023,641.57,Canceled,c6607ff3,497.75,Silver,Silver,CALL00078,Payment,496.52,Company 89
79,CUST00079,David Robinson,Other,Micronesia,21992f9e,31/08/2024,146.09,Pending,d13e3c7c,470.09,Gold,Silver,CALL00079,Delivery,22.84,Company 87
80,CUST00080,Emma Butler,Female,Burkina Faso,1dfc0d15,13/11/2022,758.35,Completed,36ec3896,110.61,Gold,Bronze,CALL00080,Product,282.49,Company 65
81,CUST00081,Sarah Davis,Male,Indonesia,3ba90309,25/11/2024,578.39,Completed,b0c74955,202.09,Silver,Gold,CALL00081,Other,446.43,Company 16
82,CUST00082,Matthew Parker,Female,French Polynesia,213271b0,29/11/2022,934.58,Canceled,dcb47321,419.95,Premium,Silver,CALL00082,Delivery,429.69,Company 80
83,CUST00083,Kathryn Pena,Female,Taiwan,658236b7,04/03/2024,926.78,Pending,6ee0701e,138.82,Gold,Bronze,CALL00083,Other,492.22,Company 55
84,CUST00084,Crystal Mann,Male,Andorra,ec7b8264,07/05/2025,989.21,Canceled,27e1b6f5,458.97,Premium,Bronze,CALL00084,Product,273.35,Company 51
85,CUST00085,Daisy Harvey,Other,Northern Mariana Isl,d136bf1e,19/07/2024,280.11,Canceled,26cae1e9,64.72,Gold,Silver,CALL00085,Delivery,97.92,Company 89
86,CUST00086,Shannon Davis,Female,French Southern Terr,506e05d1,24/11/2022,23.94,Completed,b705c484,390.63,Premium,Gold,CALL00086,Payment,402.67,Company 17
87,CUST00087,Perry Taylor,Other,Sierra Leone,a8267d24,14/08/2024,857.59,Canceled,7765d366,28.66,Gold,Bronze,CALL00087,Delivery,410.65,Company 22
88,CUST00088,Michael Walters,Other,Benin,94cd6657,15/06/2024,981.87,Completed,28513bc0,173.39,Premium,Gold,CALL00088,Delivery,477.47,Company 80
89,CUST00089,James Miller,Other,Nauru,c8b15782,12/05/2025,756.22,Canceled,1612595f,383.06,Gold,Bronze,CALL00089,Product,273.11,Company 63
90,CUST00090,Evelyn Oliver,Male,Haiti,8b0d30fa,06/12/2022,71.5,Canceled,1e9f24cb,393.99,Silver,Bronze,CALL00090,Other,357.4,Company 65
91,CUST00091,Nicholas Hahn,Other,Macedonia,de9e52b4,15/01/2023,317.87,Completed,63fa53eb,46.96,Premium,Silver,CALL00091,Other,463.29,Company 52
92,CUST00092,Suzanne Rodriguez,Other,Holy See (Vatican Ci,77ce5544,24/07/2022,483.4,Canceled,ddc8fbf2,494.41,Premium,Silver,CALL00092,Delivery,264.25,Company 61
93,CUST00093,Zachary Webb,Male,French Southern Terr,556d6da0,29/06/2023,759.78,Canceled,73e87f24,486.93,Silver,Bronze,CALL00093,Other,255.49,Company 7
94,CUST00094,Carly Riggs,Other,Romania,0cd24d27,28/09/2023,530.25,Completed,f518ea7c,226.01,Premium,Gold,CALL00094,Delivery,232.63,Company 67
95,CUST00095,Rebecca Herrera,Other,Belize,55999ae7,19/09/2022,903.86,Canceled,8f308d59,497.82,Silver,Gold,CALL00095,Payment,76.28,Company 31
96,CUST00096,Michael Dixon,Male,Zambia,c16958a3,11/04/2023,125.08,Pending,c631abcf,283.31,Gold,Bronze,CALL00096,Delivery,313.16,Company 17
97,CUST00097,Jennifer Vasquez,Male,Ethiopia,9b7378ca,04/10/2022,65.08,Pending,362ddbda,188.12,Gold,Gold,CALL00097,Delivery,130.96,Company 100
98,CUST00098,Wanda Garcia,Female,Suriname,0ae6d362,15/08/2024,808.85,Completed,22166755,67.57,Premium,Gold,CALL00098,Delivery,270.4,Company 85
99,CUST00099,Joshua Morris,Female,Honduras,f8adf95f,18/06/2023,82.3,Completed,974fef0a,41.4,Gold,Gold,CALL00099,Payment,297.79,Company 31
100,CUST00100,Melissa Wiley,Female,Monaco,b1cbca4e,22/05/2024,294.22,Canceled,5f0e809c,347.95,Premium,Bronze,CALL00100,Other,397.87,Company 61
101,CUST00101,Sara Smith,Other,Saint Kitts and Nevi,ea9f65f2,24/10/2022,992.93,Completed,6b38350f,271.93,Silver,Bronze,CALL00101,Delivery,60.41,Company 68
102,CUST00102,John Anderson,Other,Bangladesh,7b361f67,25/08/2024,964.5,Canceled,26b060b1,300.63,Silver,Gold,CALL00102,Delivery,249.73,Company 47
103,CUST00103,Brittany Jenkins,Other,Nepal,0300267c,08/11/2023,533.55,Pending,b7bb7b01,213.41,Silver,Bronze,CALL00103,Product,493.91,Company 67
104,CUST00104,Lawrence Lopez,Male,Haiti,39847efd,22/11/2023,429.89,Pending,aeb31301,495.87,Gold,Bronze,CALL00104,Delivery,457.84,Company 80
105,CUST00105,Alexis Lewis,Other,Martinique,f1bd1e8b,19/06/2024,938.04,Canceled,bdef6dda,464.57,Gold,Silver,CALL00105,Product,252.89,Company 78
106,CUST00106,Sarah Brown,Female,Saint Martin,1889da43,24/08/2023,936.88,Pending,6463460,235.32,Premium,Bronze,CALL00106,Delivery,77.57,Company 74
107,CUST00107,Deborah Proctor,Male,Haiti,39bcca30,24/12/2022,675.3,Canceled,fcb8f2c2,35.47,Premium,Bronze,CALL00107,Product,101.99,Company 69
108,CUST00108,Michelle Rios,Male,Bangladesh,72d0e0e9,18/07/2024,756.84,Canceled,d3d4ace3,416.73,Premium,Silver,CALL00108,Payment,92.59,Company 69
109,CUST00109,Aimee Gonzalez,Male,Bosnia and Herzegovi,2142e3c3,13/03/2025,581.7,Canceled,86fa80ec,195.98,Gold,Bronze,CALL00109,Delivery,360.02,Company 37
110,CUST00110,Valerie Thomas,Female,Dominica,bac0c65b,20/02/2025,228.83,Canceled,23c8da6f,401.93,Premium,Bronze,CALL00110,Payment,40.68,Company 38
111,CUST00111,Dillon Jones,Female,Rwanda,e2992eac,25/10/2022,629.73,Canceled,eb737572,110.12,Silver,Silver,CALL00111,Payment,454.55,Company 46
112,CUST00112,William Johnson,Female,Eritrea,10b8f1b5,31/08/2024,787.95,Completed,59a39d51,153.23,Silver,Bronze,CALL00112,Other,424.17,Company 76
113,CUST00113,Anna Boone,Male,Luxembourg,36e8b1dc,09/09/2023,542.55,Pending,c76fb8db,219.81,Gold,Gold,CALL00113,Other,317.84,Company 96
114,CUST00114,Chad Gonzalez,Male,Ukraine,a38c018c,01/04/2025,566.76,Completed,fe5cdfad,214.2,Premium,Gold,CALL00114,Payment,54.44,Company 49
115,CUST00115,Yvonne Dickson,Other,Yemen,fc385d41,11/10/2024,650.24,Completed,6cff0c23,359.59,Premium,Silver,CALL00115,Other,237.98,Company 59
116,CUST00116,John Davis,Other,Myanmar,cacba010,22/07/2022,383.4,Canceled,180f6867,353.71,Silver,Bronze,CALL00116,Delivery,337.64,Company 52
117,CUST00117,Toni Banks,Female,Bosnia and Herzegovi,e14c8ae7,10/08/2022,674.74,Completed,13d682c3,108.61,Gold,Silver,CALL00117,Product,278.48,Company 80
118,CUST00118,Mrs. Stacey Davis,Male,Guernsey,76e11879,18/10/2022,937.79,Completed,496168df,223.44,Gold,Silver,CALL00118,Product,412.19,Company 22
119,CUST00119,Benjamin Singleton,Other,Cayman Islands,084b58b1,26/08/2022,706.73,Pending,5e1124fe,418.32,Gold,Bronze,CALL00119,Delivery,317.86,Company 14
120,CUST00120,Monica Baker,Female,Northern Mariana Isl,9d42bdff,06/08/2022,538.31,Pending,f1ae309a,179.78,Silver,Gold,CALL00120,Payment,457.73,Company 55
121,CUST00121,Kaitlin Jacobson,Female,Mexico,1a47ca2b,01/12/2022,804.79,Pending,f8684e76,221.11,Gold,Gold,CALL00121,Product,485.29,Company 25
122,CUST00122,Taylor Armstrong,Other,Swaziland,82a582f6,02/07/2023,419.79,Canceled,a04a0604,393.99,Silver,Silver,CALL00122,Payment,307.83,Company 6
123,CUST00123,Justin Arnold,Female,Estonia,ea38713f,19/07/2023,583.35,Canceled,118b1179,326.53,Premium,Bronze,CALL00123,Payment,300.13,Company 4
124,CUST00124,Donald Thomas,Male,Togo,78bbcff8,13/10/2022,504.31,Pending,085883f8,217.87,Premium,Gold,CALL00124,Delivery,357.12,Company 90
125,CUST00125,Erica Daniel,Female,China,fb51fec0,15/06/2025,645.28,Completed,f66a4d70,119.04,Gold,Bronze,CALL00125,Other,296.78,Company 90
126,CUST00126,Anthony Ward,Male,Guernsey,810706ae,31/03/2025,493.43,Completed,4b800c40,422.56,Premium,Bronze,CALL00126,Delivery,486.92,Company 65
127,CUST00127,James Martin,Male,Cuba,c5b34b59,01/04/2023,671.53,Canceled,b03d0372,43.55,Premium,Silver,CALL00127,Delivery,145.66,Company 95
128,CUST00128,Adrienne Key,Other,Saint Helena,c12473f5,12/01/2023,19.05,Canceled,345ad145,445.4,Premium,Silver,CALL00128,Payment,314.4,Company 1
129,CUST00129,Norman Aguilar,Other,Czech Republic,53669720,16/09/2023,662.69,Canceled,00ee1370,267.21,Silver,Gold,CALL00129,Delivery,377.33,Company 79
130,CUST00130,Julie Wilson,Other,Grenada,beebe8da,10/11/2024,281.99,Completed,30898322,318.53,Gold,Gold,CALL00130,Delivery,31.32,Company 82
131,CUST00131,Philip Jackson,Female,Nigeria,ea8306f6,13/01/2025,529.14,Pending,496d7e40,316.52,Silver,Gold,CALL00131,Delivery,21.53,Company 36
132,CUST00132,James Chapman,Other,Haiti,7afc000e,11/08/2022,88.23,Pending,d77b658c,472.67,Gold,Bronze,CALL00132,Product,375.29,Company 68
133,CUST00133,Amber Rodriguez,Other,Slovenia,5d7ad1b8,14/08/2023,829.78,Completed,909a15f3,227.04,Gold,Silver,CALL00133,Payment,85.38,Company 17
134,CUST00134,Heather Ortiz,Female,French Polynesia,358469f8,26/07/2022,385.47,Completed,139443b7,454.88,Silver,Bronze,CALL00134,Other,383.59,Company 83
135,CUST00135,Heather Rhodes,Other,South Georgia and th,7302a5d1,14/11/2022,846.88,Completed,29a56f73,35.1,Silver,Silver,CALL00135,Other,372.63,Company 52
136,CUST00136,Amy Dunlap,Female,Seychelles,a2665303,06/12/2022,237.47,Completed,006bed51,307.81,Gold,Silver,CALL00136,Other,442.28,Company 84
137,CUST00137,Lisa Reynolds,Female,Australia,606a1b9f,02/08/2023,900.32,Completed,69e169b2,257.18,Premium,Bronze,CALL00137,Other,34.13,Company 24
138,CUST00138,Jeremy Berry,Male,Costa Rica,3385a1cf,07/04/2025,591.17,Canceled,5.18E+25,50.82,Premium,Bronze,CALL00138,Delivery,294.35,Company 79
139,CUST00139,Evelyn Saunders,Male,Lithuania,decb7848,16/12/2024,571.03,Canceled,bc7e92d7,335.43,Premium,Gold,CALL00139,Payment,21.12,Company 30
140,CUST00140,Levi Lopez,Other,Vietnam,5eb7d1a7,22/03/2023,505.78,Pending,e2734be5,365.45,Premium,Gold,CALL00140,Delivery,497.94,Company 44
141,CUST00141,Carrie Ochoa,Female,Tokelau,5da6b7ef,30/12/2022,955.31,Pending,adb4577f,488.4,Silver,Silver,CALL00141,Other,289.4,Company 66
142,CUST00142,Marcus Roberts,Male,Cook Islands,21c3447d,16/01/2024,235.86,Canceled,98bc21f8,494.39,Silver,Silver,CALL00142,Other,457.16,Company 76
143,CUST00143,Antonio Mueller,Male,Trinidad and Tobago,1b39853c,05/05/2025,94.84,Pending,536ed6a9,105.61,Premium,Silver,CALL00143,Product,248.79,Company 75
144,CUST00144,Christina Hardy,Male,Central African Repu,448063cf,28/03/2025,386.2,Completed,520b54d5,283.28,Premium,Gold,CALL00144,Payment,119.34,Company 66
145,CUST00145,Timothy Carlson,Male,Martinique,2ea23b5f,27/11/2024,943.53,Completed,e1c180dc,149.28,Premium,Bronze,CALL00145,Other,406.27,Company 4
146,CUST00146,Edward Clements,Other,Malawi,b40538bb,12/11/2022,561.42,Completed,7bf43edc,55.69,Premium,Gold,CALL00146,Payment,61.16,Company 59
147,CUST00147,Bradley Davis,Male,Austria,a2e0f43e,31/12/2024,602.06,Completed,7de4fd66,69.91,Premium,Silver,CALL00147,Delivery,353.99,Company 70
148,CUST00148,Susan Russell,Other,French Guiana,1c6ad9b2,04/03/2023,902.12,Completed,1a52456f,398.8,Premium,Bronze,CALL00148,Payment,117.16,Company 36
149,CUST00149,Matthew Wells,Female,Mayotte,fd21df3f,07/07/2024,308.12,Pending,1f325dae,41.46,Premium,Gold,CALL00149,Product,467.76,Company 17
150,CUST00150,Sarah Thomas,Other,Finland,e65dfa6a,16/08/2024,367.51,Pending,ddb36850,398.95,Premium,Gold,CALL00150,Product,195.4,Company 39
151,CUST00151,Brittany Knight,Male,China,f0c0ffde,27/02/2023,311.61,Pending,a36a7d65,176.26,Gold,Silver,CALL00151,Delivery,278.54,Company 71
152,CUST00152,Stephen Jones,Female,Algeria,9b718767,01/09/2023,341.39,Canceled,d3d055d5,174.49,Silver,Bronze,CALL00152,Product,425.36,Company 23
153,CUST00153,Brenda Moore,Female,Romania,8b9a7efa,05/10/2023,321.04,Pending,a3ad540e,157.58,Gold,Gold,CALL00153,Product,298.67,Company 75
154,CUST00154,Jamie Gray,Other,Guyana,1871181f,06/08/2023,784.15,Completed,d3a3b8af,37.42,Gold,Bronze,CALL00154,Product,460.3,Company 97
155,CUST00155,Mr. Daniel Martin,Female,Turkey,3b3f07a4,11/04/2025,207.8,Canceled,0f207c88,471.24,Gold,Gold,CALL00155,Other,201.47,Company 28
156,CUST00156,Carolyn Greer,Other,Netherlands,fb0d8dd9,09/06/2024,943.55,Pending,31c2fb2b,175.42,Premium,Gold,CALL00156,Delivery,173.86,Company 53
157,CUST00157,Anna Hopkins,Female,Ireland,9f001628,27/04/2024,147.79,Pending,69b13618,104.69,Premium,Bronze,CALL00157,Product,430.41,Company 63
158,CUST00158,Adam Pena,Other,Liberia,0f07c0cd,05/10/2023,454.58,Canceled,06f86fea,194.8,Silver,Silver,CALL00158,Delivery,138.73,Company 10
159,CUST00159,Laura Schroeder MD,Male,Heard Island and McD,c50add89,26/11/2023,548.21,Completed,3281927f,338.04,Gold,Gold,CALL00159,Other,269.76,Company 74
160,CUST00160,Victor Brown,Other,Falkland Islands (Ma,da177ab1,20/02/2024,771.26,Canceled,1a32201a,45.8,Gold,Bronze,CALL00160,Other,394.51,Company 100
161,CUST00161,Adrian Padilla,Other,Barbados,a7c06a25,08/11/2022,967.14,Pending,e90c4bf7,242.83,Silver,Bronze,CALL00161,Other,103.73,Company 71
